index,original word,new word
1738,pop,
1739,him,
1740,tida,
1741,jenuh,
1742,adegan,
1743,timbul,
1744,permen,
1745,dapetin,
1746,absen,
1747,iyaa,
1748,esok,
1749,lombok,
1750,puji,
1751,maksa,
1752,tengok,
1753,back,
1754,whatsapp,
1755,jengkel,
1756,jumpa,
1757,kesal,
1758,hoax,
1759,diliatin,
1760,mapan,
1761,tgb,
1762,ngucapin,
1763,never,
1764,atuh,
1765,duda,
1766,kotak,
1767,tlp,
1768,matiin,
1769,gera,
1770,problem,
1771,selingkuh,
1772,wow,
1773,koq,
1774,konteks,
1775,univ,
1776,go,
1777,tanam,
1778,pahlawan,
1779,budi,
1780,idola,
1781,gasuka,
1782,renung,
1783,dangkal,
1784,ikat,
1785,padat,
1786,final,
1787,semalem,
1788,last,
1789,harrasment,
1790,nasional,
1791,langgeng,
1792,favorit,
1793,simic,
1794,dilecehin,
1795,desain,
1796,susul,
1797,tegang,
1798,hening,
1799,buset,
1800,sj,
1801,call,
1802,ngebayangin,
1803,jatoh,
1804,same,
1805,gosip,
1806,simak,
1807,dinas,
1808,seni,
1809,momen,
1810,gaberani,
1811,benda,
1812,mmg,
1813,deras,
1814,menkes,
1815,sbab,
1816,haji,
1817,quran,
1818,gas,
1819,singgah,
1820,olahraga,
1821,putar,
1822,angka,
1823,medan,
1824,ngejalanin,
1825,kotor,
1826,rasulullah,
1827,aksi,
1828,bucin,
1829,kpop,
1830,seleksi,
1831,umi,
1832,teknologi,
1833,larut,
1834,always,
1835,begadang,
1836,ngetik,
1837,haid,
1838,sharing,
1839,hadeh,
1840,mamak,
1841,madu,
1842,men,
1843,idol,
1844,kelola,
1845,mr,
1846,anniversary,
1847,jilbab,
1848,presentasi,
1849,lontar,
1850,jne,
1851,pulau,
1852,gang,
1853,verbal,
1854,lgi,
1855,omel,
1856,kt,
1857,world,
1858,krg,
1859,klik,
1860,piye,
1861,buk,
1862,center,
1863,produk,
1864,detail,
1865,bobo,
1866,alih,
1867,mentok,
1868,kirain,
1869,rampok,
1870,kejam,
1871,karyawan,
1872,musim,
1873,idung,
1874,fb,
1875,nol,
1876,junjung,
1877,respon,
1878,mewah,
1879,kreatif,
1880,ny,
1881,proyek,
1882,ummat,
1883,jamin,
1884,hehehe,
1885,alir,
1886,jatohnya,
1887,resiko,
1888,ngajarin,
1889,hutang,
1890,gatel,
1891,bolong,
1892,cemas,
1893,sarung,
1894,korup,
1895,will,
1896,berkat,
1897,apresiasi,
1898,ijin,
1899,kabinet,
1900,otomatis,
1901,ongkir,
1902,rahasia,
1903,ngasi,
1904,sembah,
1905,soekarno,
1906,pecat,
1907,mega,
1908,wib,
1909,wifi,
1910,home,
1911,psi,
1912,ina,
1913,twitt,
1914,thank,
1915,melulu,
1916,rezim,
1917,dksh,
1918,dh,
1919,syarat,
1920,st,
1921,mjd,
1922,negri,
1923,spy,
1924,bantuin,
1925,bungkus,
1926,sembunyi,
